time,message
2026-04-08T22:15:43Z,Start time was: 2026-04-08 15:15:43.488327
2026-04-08T22:15:43Z,Downloading https://yukon.ca/en/travel-expense-report-ame-round-and-wild-sheep-foundation-show-january-22-january-27
2026-04-08T22:15:43Z,Downloading https://yukon.ca/en/travel-expense-report-ame-round-january-24-january-28
2026-04-08T22:15:44Z,Downloading https://yukon.ca/en/travel-expense-report-ame-round-and-first-ministers-meeting-january-24-january-30
2026-04-08T22:15:44Z,Downloading https://yukon.ca/en/travel-expense-report-federal-provincial-and-territorial-agriculture-conference-september-6-september-10
2026-04-08T22:15:44Z,Downloading https://yukon.ca/en/travel-expense-report-housing-federal-provincial-and-territorial-meetings-september-7-september-13
2026-04-08T22:15:44Z,Downloading https://yukon.ca/en/travel-expense-report-intergovernmental-energy-summit-september-17-september-20
2026-04-08T22:15:45Z,Downloading https://yukon.ca/en/travel-expense-reports-order-british-columbia-september-18-september-21
2026-04-08T22:15:45Z,Downloading https://yukon.ca/en/travel-expense-report-parliamentary-secretary-women-august-6-august-10
2026-04-08T22:15:45Z,Downloading https://yukon.ca/en/travel-expense-report-sport-federal-provincial-and-territorial-meetings-canada-summer-games-arctic-security-and-grid-connect-meetings-august-6-august-15
2026-04-08T22:15:46Z,Downloading https://yukon.ca/en/travel-expense-report-economic-development-meetings-august-21
2026-04-08T22:15:46Z,Downloading https://yukon.ca/en/travel-expense-report-taiwan-air-interline-agreement-august-24-august-31
2026-04-08T22:15:46Z,Downloading https://yukon.ca/en/travel-expense-report-committee-internal-trade-cit-and-bc-grid-connect-proponent-meetings-july-3-july-10
2026-04-08T22:15:46Z,Downloading https://yukon.ca/en/travel-expense-report-federal-provincial-and-territorial-ministers-status-women-meetings-july-7-july-11
2026-04-08T22:15:47Z,Downloading https://yukon.ca/en/travel-expense-report-energy-mines-and-resources-ministers-conference-july-8-july-12
2026-04-08T22:15:47Z,Downloading https://yukon.ca/en/travel-expense-report-council-federation-july-19-july-25
2026-04-08T22:15:47Z,Downloading https://yukon.ca/en/travel-expense-report-proponent-meetings-july-20-july-25
2026-04-08T22:15:48Z,Downloading https://yukon.ca/en/travel-expense-report-hydro-one-and-fortis-meetings-july-28-july-31
2026-04-08T22:15:48Z,Downloading https://yukon.ca/en/travel-expense-report-first-ministers-meetings-june-1-june-3
2026-04-08T22:15:48Z,Downloading https://yukon.ca/en/travel-expense-report-global-energy-show-june-10-june-12
2026-04-08T22:15:48Z,Downloading https://yukon.ca/en/travel-expense-report-economic-development-meetings-june-23-24
2026-04-08T22:15:49Z,Downloading https://yukon.ca/en/travel-expense-report-council-canadian-francophonie-june-25-june-27
2026-04-08T22:15:49Z,Downloading https://yukon.ca/en/travel-expense-report-toronto-and-ottawa-meetings-may-8-18
2026-04-08T22:15:49Z,Downloading https://yukon.ca/en/travel-expense-report-arctic-inspiration-prize-may-11-15
2026-04-08T22:15:49Z,Downloading https://yukon.ca/en/travel-expense-report-western-premiers-conference-may-20-25
2026-04-08T22:15:50Z,Downloading https://yukon.ca/en/travel-expense-report-cansec-2025-trade-show-may-26-30
2026-04-08T22:15:50Z,Downloading https://yukon.ca/en/travel-expense-report-leaders-conference-april-3-5
2026-04-08T22:15:50Z,Downloading https://yukon.ca/en/travel-expense-report-pdac-march-1-5
2026-04-08T22:15:50Z,Downloading https://yukon.ca/en/travel-expense-report-first-ministers-meetings-march-20-22
2026-04-08T22:15:51Z,Downloading https://yukon.ca/en/travel-expense-report-mission-washington-february-9-16
2026-04-08T22:15:51Z,Downloading https://yukon.ca/en/travel-expense-report-committee-internal-trade-february-27-march-2
2026-04-08T22:15:51Z,Downloading https://yukon.ca/en/travel-expense-report-first-ministers-meetings-january-12-16
2026-04-08T22:15:52Z,Downloading https://yukon.ca/en/travel-expense-report-round-january-18-26
2026-04-08T22:15:52Z,Downloading https://yukon.ca/en/travel-expense-report-committee-internal-trade-january-30-february-5
2026-04-08T22:15:52Z,Downloading https://yukon.ca/en/travel-expense-report-yukon-days-december-1-18
2026-04-08T22:15:52Z,Downloading https://yukon.ca/en/travel-expense-report-funeral-former-bc-premier-john-horgan-december-14-16
2026-04-08T22:15:53Z,Downloading https://yukon.ca/en/travel-expense-report-council-federation-winter-meetings-december-13-19
2026-04-08T22:15:53Z,Downloading https://yukon.ca/en/travel-expense-report-us-relations-meetings-december-18-23
2026-04-08T22:15:53Z,Downloading https://yukon.ca/en/travel-expense-report-federal-provincial-and-territorial-ministers-early-learning-and-child-care
2026-04-08T22:15:53Z,Downloading https://yukon.ca/en/travel-expense-report-meetings-federal-ministers-september-12-20
2026-04-08T22:15:54Z,Downloading https://yukon.ca/en/travel-expense-report-pnwer-annual-summit-july-20-july-26
2026-04-08T22:15:54Z,Downloading https://yukon.ca/en/travel-expense-report-council-federation-july-15-17-2024
2026-04-08T22:15:54Z,Downloading https://yukon.ca/en/travel-expense-report-business-development-meeting-july-31
2026-04-08T22:15:54Z,Downloading https://yukon.ca/en/travel-expense-report-ore-deck-ribbon-cutting-ceremony-june-27
2026-04-08T22:15:55Z,Downloading https://yukon.ca/en/travel-expense-report-agm-pt-ministers-responsible-local-government-june-24-27
2026-04-08T22:15:55Z,Downloading https://yukon.ca/en/travel-expense-report-federal-provincial-and-territorial-ministers-responsible-conservation-wildlife
2026-04-08T22:15:55Z,Downloading https://yukon.ca/en/travel-expense-report-london-delegation-trip-june-6-15
2026-04-08T22:15:56Z,Downloading https://yukon.ca/en/travel-expense-report-meeting-diplomats-june-12-14
2026-04-08T22:15:56Z,Downloading https://yukon.ca/en/travel-expense-report-meeting-eurasia-group-diplomats-and-collision-june-10-20
2026-04-08T22:15:56Z,Downloading https://yukon.ca/en/travel-expense-report-attendance-anniversary-d-day-june-4-8
2026-04-08T22:15:56Z,Downloading https://yukon.ca/en/travel-expense-attendance-meeting-canadian-council-forest-ministers-june-2-5
2026-04-08T22:15:57Z,Downloading https://yukon.ca/en/travel-expense-report-attendance-northern-premiers-forum-may-4-10-2024
2026-04-08T22:15:57Z,Downloading https://yukon.ca/en/travel-expense-report-attendance-arctic-encounter-symposium-april-11-13-2024
2026-04-08T22:15:57Z,Downloading https://yukon.ca/en/travel-expense-report-meeting-federal-provincial-and-territorial-ministers-responsible-labour-april
2026-04-08T22:15:58Z,Downloading https://yukon.ca/en/travel-expense-report-attendance-brian-mulroney-funeral-march-21-march-24-2024
2026-04-08T22:15:58Z,Downloading https://yukon.ca/en/travel-expense-report-ministers-meeting-montreal-february-21-25-2024
2026-04-08T22:15:58Z,Downloading https://yukon.ca/en/travel-expense-report-meeting-minister-wilkinson-january-4-january-5-2024
2026-04-08T22:15:58Z,Downloading https://yukon.ca/en/travel-expense-report-premiers-meeting-minister-wilkinsonconsul-january-4-january-7-2023
2026-04-08T22:15:59Z,Downloading https://yukon.ca/en/travel-expense-report-minister-silver-round-meeting-january-19-25-2024
2026-04-08T22:15:59Z,Downloading https://yukon.ca/en/travel-expense-report-round-meeting-january-20-january-23-2024
2026-04-08T22:15:59Z,Downloading https://yukon.ca/en/travel-expense-report-meeting-minister-wilkinson-january-20-january-25-2024
2026-04-08T22:15:59Z,Downloading https://yukon.ca/en/travel-expense-report-round-january-21-january-26-2024
2026-04-08T22:16:00Z,Downloading https://yukon.ca/en/travel-expense-report-finance-ministers-provincialterritorialfederal-december-11-december-18-2024
2026-04-08T22:16:00Z,Downloading https://yukon.ca/en/travel-expense-report-yukon-days-minister-mosytn-december-2-6-2023
2026-04-08T22:16:00Z,Downloading https://yukon.ca/en/travel-expense-report-yukon-days-december-02-december-07-2023
2026-04-08T22:16:01Z,Downloading https://yukon.ca/en/travel-expense-report-for-yukon-days-december-03-to-december-08
2026-04-08T22:16:01Z,Downloading https://yukon.ca/en/travel-expense-report-yukon-days-minister-clarke-december-03-december-08-2023
2026-04-08T22:16:01Z,Downloading https://yukon.ca/en/travel-expense-report-premiere-yukon-days-december-02-december-10-2023
2026-04-08T22:16:01Z,Downloading https://yukon.ca/en/travel-expense-report-bc-cabinet-fn-leaders-gathering-november-02-03-2023
2026-04-08T22:16:02Z,Downloading https://yukon.ca/en/travel-expense-report-cof-premiers-meeting-november-3-november-7-2023
2026-04-08T22:16:02Z,Downloading https://yukon.ca/en/travel-expense-report-for-europe-mission-from-november-24-to-november-30-2023
2026-04-08T22:16:02Z,Downloading https://yukon.ca/en/travel-expense-report-banff-forum-october-20-2023
2026-04-08T22:16:02Z,Downloading https://yukon.ca/en/premier-eby-consuls-meeting-oct-27-oct-29-2023
2026-04-08T22:16:03Z,Downloading https://yukon.ca/en/travel-expense-report-asian-mission-september-07-september-24-2023
2026-04-08T22:16:03Z,Downloading https://yukon.ca/en/travel-expense-report-federal-ministers-meeting-september-20-22-2023
2026-04-08T22:16:03Z,Downloading https://yukon.ca/en/travel-expense-report-denver-gold-forum-september-11-21-2023
2026-04-08T22:16:04Z,Downloading https://yukon.ca/en/travel-expense-report-2023-ending-gender-based-violence-forum-septenber-05-07-2023
2026-04-08T22:16:04Z,Downloading https://yukon.ca/en/travel-expense-report-asian-mission-september-07-september-13-2023
2026-04-08T22:16:04Z,Downloading https://yukon.ca/en/find-minister-travel-expenses-ministers-meetings-september-1-september-7-2023
2026-04-08T22:16:04Z,Downloading https://yukon.ca/en/travel-expense-report-emmc-conference-august-27-september-1-2023
2026-04-08T22:16:05Z,Downloading https://yukon.ca/en/travel-expense-report-tour-qikiqtaruk-august-21-august-23-2023
2026-04-08T22:16:05Z,Downloading https://yukon.ca/en/travel-expense-report-signing-offshore-accord-august-10-2023
2026-04-08T22:16:05Z,Downloading https://yukon.ca/en/travel-expense-report-2023-fpt-ministers-responsible-status-women
2026-04-08T22:16:05Z,Downloading https://yukon.ca/en/travel-expense-report-haa-kusteeyi-celebration-july-29-july-30-2023
2026-04-08T22:16:06Z,Downloading https://yukon.ca/en/travel-expense-report-white-pass-125th-anniversary-july-29-july-30-2023
2026-04-08T22:16:06Z,Downloading https://yukon.ca/en/travel-expense-report-ccme-council-ministers-meetings-july-25-july-28-2023
2026-04-08T22:16:06Z,Downloading https://yukon.ca/en/travel-expense-report-meeting-nova-scotia-premier-july-25-july-26-2023
2026-04-08T22:16:06Z,Downloading https://yukon.ca/en/travel-expense-report-fpt-ministers-agriculture-july-18-july-22-2023
2026-04-08T22:16:07Z,Downloading https://yukon.ca/en/travel-expense-report-2023-north-american-indigenous-games-july-14-july-17-2023
2026-04-08T22:16:07Z,Downloading https://yukon.ca/en/travel-expense-report-pacific-northwest-economic-region-july-14-july-21-2023
2026-04-08T22:16:07Z,Downloading https://yukon.ca/en/travel-expense-report-2023-fpt-ministers-responsible-early-learning-child-care
2026-04-08T22:16:08Z,Downloading https://yukon.ca/en/travel-expense-report-council-ministers-education-canada-meeting-july-11-july-14-2023
2026-04-08T22:16:08Z,Downloading https://yukon.ca/en/travel-expense-report-cof-summer-meetings-july-9-13-2023
2026-04-08T22:16:08Z,Downloading https://yukon.ca/en/travel-expense-report-ministers-council-canadian-francophonie-july-5-7-2023
2026-04-08T22:16:08Z,Downloading https://yukon.ca/en/travel-expense-report-fpt-ministers-responsible-culture-and-heritage-june-26-30-2023
2026-04-08T22:16:09Z,Downloading https://yukon.ca/en/travel-expense-report-western-premiers-conference-june-25-june-27-2023
2026-04-08T22:16:09Z,Downloading https://yukon.ca/en/travel-expense-report-fpt-ministers-infrastructure-meeting-june-19-23-2023
2026-04-08T22:16:09Z,Downloading https://yukon.ca/en/travel-expense-report-fpt-ministers-responsible-human-rights-june-15-30-2023
2026-04-08T22:16:09Z,Downloading https://yukon.ca/en/travel-expense-report-pt-ministers-responsible-local-government-june-1-7-2023
2026-04-08T22:16:10Z,Downloading https://yukon.ca/en/travel-expense-report-cirnac-june-1-5-2023
2026-04-08T22:16:10Z,Downloading https://yukon.ca/en/travel-expense-report-rendezvous-canada-may-28-june-1-2023
2026-04-08T22:16:10Z,Downloading https://yukon.ca/en/travel-expense-report-northern-premiers-forum-may-16-17-2023
2026-04-08T22:16:11Z,Downloading https://yukon.ca/en/travel-expense-report-ministerial-meetings-may-3-6-2023
2026-04-08T22:16:11Z,Downloading https://yukon.ca/en/travel-expense-report-premier-fordstakeholder-meetings-april-30-may-8-2023
2026-04-08T22:16:11Z,Downloading https://yukon.ca/en/travel-expense-report-meeting-air-north-april-6-8-2023
2026-04-08T22:16:11Z,Downloading https://yukon.ca/en/travel-expense-report-first-nations-meetings-march-17-2023
2026-04-08T22:16:12Z,Downloading https://yukon.ca/en/travel-expense-report-2023-canada-winter-games-february-15-20-2023
