time,message
2026-04-08T21:58:48Z,Start time was: 2026-04-08 14:58:48.099837
2026-04-08T21:58:48Z,For 2018 in en there are: 3 news releases.
2026-04-08T21:58:49Z,Creating package minister-travel-expense-reports-2018
2026-04-08T21:58:49Z,"Uploading resource for Travel expense report for the Federal, Provincial and Territorial meeting of Ministers of Culture and Heritage, June 18 to 20, 2018 from path output/en/2018/travel-expense-report-federal-provincial-and-territorial-meeting-ministers-culture-and-heritage-june.html"
2026-04-08T21:58:50Z,"Uploading resource for Travel expense report for Mineral Exploration Roundup, January 19 to 25, 2018 from path output/en/2018/travel-expense-report-mineral-exploration-roundup-january-19-25-2018.html"
2026-04-08T21:58:51Z,"Uploading resource for Travel expense report for the Energy and Mines Ministers Conference and the Arctic Indigenous Investment Conference, August 11 to 15, 2018 from path output/en/2018/travel-expense-report-energy-and-mines-ministers-conference-and-arctic-indigenous-investment.html"
2026-04-08T21:58:52Z,For 2020 in en there are: 1 news releases.
2026-04-08T21:58:52Z,Creating package minister-travel-expense-reports-2020
2026-04-08T21:58:53Z,"Uploading resource for Travel expense report for the Prospector and Developers Association of Canada Mineral Exploration and Mining Convention, February 26 to March 4, 2020 from path output/en/2020/travel-expense-report-prospector-and-developers-association-canada-mineral-exploration-and-mining.html"
2026-04-08T21:58:54Z,For 2022 in en there are: 1 news releases.
2026-04-08T21:58:54Z,Creating package minister-travel-expense-reports-2022
2026-04-08T21:58:54Z,"Uploading resource for Travel expense report for the Pacific NorthWest Economic Region summit, July 21 to 31, 2022 from path output/en/2022/travel-expense-report-pacific-northwest-economic-region-summit-july-21-31-2022.html"
2026-04-08T21:58:55Z,For 2023 in en there are: 1 news releases.
2026-04-08T21:58:55Z,Creating package minister-travel-expense-reports-2023
2026-04-08T21:58:56Z,"Uploading resource for Travel expense report for the 2023 FPT Ministers Responsible Status of Women, July 29 to August 02 from path output/en/2023/travel-expense-report-2023-fpt-ministers-responsible-status-women.html"
2026-04-08T21:58:57Z,For 2024 in en there are: 1 news releases.
2026-04-08T21:58:57Z,Creating package minister-travel-expense-reports-2024
2026-04-08T21:58:57Z,"Uploading resource for Travel expense report for Federal, Provincial and Territorial Ministers responsible for Conservation, Wildlife and Biodiversity,  June 24 to 28, 2024 from path output/en/2024/travel-expense-report-federal-provincial-and-territorial-ministers-responsible-conservation-wildlife.html"
2026-04-08T21:58:58Z,For 2025 in en there are: 0 news releases.
2026-04-08T21:58:58Z,Creating package minister-travel-expense-reports-2025
2026-04-08T21:58:58Z,For 2018 in fr there are: 1 news releases.
2026-04-08T21:58:58Z,Creating package frais-de-deplacement-des-ministres-2018
2026-04-08T21:58:59Z,"Uploading resource for Frais de déplacement pour assister aux audiences de l’Enquête nationale sur les femmes et les filles autochtones disparues et assassinées, du 17 au 19 septembre 2016 from path output/fr/2018/frais-de-deplacement-pour-assister-aux-audiences-de-lenquete-nationale-sur-les-femmes-et-les-filles.html"
2026-04-08T21:59:00Z,For 2020 in fr there are: 0 news releases.
2026-04-08T21:59:00Z,Creating package frais-de-deplacement-des-ministres-2020
2026-04-08T21:59:01Z,For 2022 in fr there are: 0 news releases.
2026-04-08T21:59:01Z,Creating package frais-de-deplacement-des-ministres-2022
2026-04-08T21:59:01Z,For 2023 in fr there are: 1 news releases.
2026-04-08T21:59:01Z,Creating package frais-de-deplacement-des-ministres-2023
2026-04-08T21:59:02Z,"Uploading resource for Frais de déplacement pour participer aux Journées du Yukon, du 3 au 8 décembre 2022 from path output/fr/2023/frais-de-deplacement-pour-participer-aux-journees-du-yukon-du-3-au-8-decembre-2022.html"
2026-04-08T21:59:03Z,For 2024 in fr there are: 0 news releases.
2026-04-08T21:59:03Z,Creating package frais-de-deplacement-des-ministres-2024
2026-04-08T21:59:03Z,For 2025 in fr there are: 1 news releases.
2026-04-08T21:59:03Z,Creating package frais-de-deplacement-des-ministres-2025
2026-04-08T21:59:03Z,"Uploading resource for Travel expense report for Leaders Conference, April 3 to 5 from path output/fr/2025/travel-expense-report-leaders-conference-april-3-5.html"
2026-04-08T21:59:04Z,End time was: 2026-04-08 14:59:04.613195
2026-04-08T21:59:04Z,Elapsed time was: 0 hours
